X,Y,Z,α,β,γ,unipolar(mV),bipolar(mV),LAT(ms)
68.7298,-51.8524,148.486,0.40327,0.702177,-0.586789,5.553,0.111,-149
66.2447,-48.238,148.082,0.769586,0.00247823,-0.638538,5.625,0.045,-10000
60.1538,-48.8601,153.491,0.741134,0.121927,-0.660192,5.277,0.516,138
68.8649,-46.5447,150.266,0.292897,-0.235638,-0.926653,5.499,0.057,-10000
64.5391,-58.7565,152.571,0.735248,0.372514,-0.566254,5.784,1.437,151
68.4443,-52.5897,150.095,0.351981,0.722567,-0.594985,5.793,0.186,-148
65.9024,-45.6443,159.262,0.208503,-0.175144,-0.962212,5.208,0.678,-8
64.5634,-59.745,155.025,0.64533,0.4758,-0.597631,5.706,1.437,156
64.5251,-46.2528,161.488,0.280348,-0.126539,-0.951521,4.866,0.33,-4
61.3215,-60.5786,148.542,0.564353,0.77601,-0.281628,6.21,0.225,-138
63.6373,-45.0135,163.104,0.268912,-0.160325,-0.949728,4.908,0.261,-6
55.2378,-47.327,156.469,0.856301,-0.0218521,-0.516014,6.237,0.201,-156
59.8597,-59.4617,150.073,0.580625,0.756953,-0.299826,6.168,0.144,-139
64.5311,-56.5123,158.697,0.0840509,0.86201,-0.499875,5.406,1.326,-159
59.6371,-29.1076,155.608,0.188379,-0.728832,-0.658269,4.887,0.108,15
64.0074,-42.8877,156.149,-0.144469,0.860715,-0.488159,5.097,0.204,-8
63.0732,-34.4567,162.458,0.214668,0.482647,-0.849099,4.509,0.33,2
59.7205,-26.8486,153.917,0.174405,-0.729,-0.661923,4.752,0.087,15
64.4672,-41.1941,155.594,-0.180972,0.861488,-0.474434,5.145,0.219,-8
60.0218,-25.2281,153.412,0.153201,-0.724117,-0.672447,4.797,0.108,15
63.9305,-40.6104,154.749,-0.202054,0.873105,-0.443691,5.043,0.27,-9
59.3193,-24.6785,152.773,0.148941,-0.712014,-0.686187,4.725,0.066,15
62.7773,-31.9544,160.02,0.0437399,0.377412,-0.925012,4.293,0.387,14
53.7078,-28.413,149.104,0.932364,-0.217794,-0.288553,5.202,0.168,-47
61.1816,-34.7606,150.069,-0.303022,0.85831,-0.414104,5.277,0.129,-42
